SampleDate_SampleTime	Station	Depth	CHLA	DIN	DO	DOC	DON	DOP	FSS	KD	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALINITY	SECCHI	SIF	SIGMA_T	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	WTEMP	TotalDepth	UpperPycnocline	LowerPycnocline	Latitude	Longitude	Time
2012-03-16	CB6.4	0.0								0.903												1.2												9.0	3.0	5.0	37.23653	-76.20799	13:24:00
2012-03-16	CB6.4	1.0	13.2432	0.0044	11.44	2.348	0.1916	0.0022500000000000003	3.48		0.0024	0.002	0.0004	0.0016	1.42382	8.32	0.226	0.20705	0.0002	0.014709999999999999	16.78		0.2711	12.76205	27346.0	0.196	0.0024	0.4031	0.3987	0.0171	7.0		10.94	9.0	3.0	5.0	37.23653	-76.20798999999994	13:24:00
2012-03-16	CB6.4	2.0	14.6316	0.004	11.49		0.184	0.00265	4.74		0.0025	0.0015	0.0004	0.0011	1.54546	8.33	0.226	0.22871999999999998	0.0002	0.01487	16.83		0.2614	12.7896	27416.0	0.188	0.0028	0.4167	0.4127	0.0177	8.24		11.02	9.0	3.0	5.0	37.23653000000001	-76.20798999999995	13:24:00
2012-03-16	CB6.4	3.0			11.25											8.31					17.06			13.00072	27763.0								10.79	9.0	3.0	5.0	37.23653000000001	-76.20799	13:24:00
2012-03-16	CB6.4	4.0			9.02											8.03					20.96			16.24137	33616.0								9.3	9.0	3.0	5.0	37.23653000000001	-76.20799	13:24:00
2012-03-16	CB6.4	5.0			8.9											8.0					22.89			17.72233	36393.0								9.49	9.0	3.0	5.0	37.23653000000001	-76.20799	13:24:00
2012-03-16	CB6.4	6.0	7.7964	0.0187	8.85		0.1673	0.0034	6.48		0.0129	0.0058	0.0004	0.0054	0.96385	8.0	1.10004	0.17357	0.0008	0.01678	23.49		0.2234	18.175179999999997	37252.0	0.186	0.0042	0.3596	0.3409	0.021	9.34		9.6	9.0	3.0	5.0	37.23653000000001	-76.20798999999995	13:24:00
2012-03-16	CB6.4	7.0			8.81											7.99					23.84			18.44546	37754.0								9.62	9.0	3.0	5.0	37.23653000000001	-76.20799	13:24:00
2012-03-16	CB6.4	8.0	7.9032	0.0133	9.18		0.1497	0.0026	6.2		0.0099	0.0034	0.0003	0.0031	0.92184	8.03	0.91848	0.16797	0.0011	0.01619	23.97		0.1904	18.545479999999998	38012.0	0.163	0.0037	0.331	0.3177	0.0199	8.84		9.63	9.0	3.0	5.0	37.23653000000001	-76.20798999999995	13:24:00
2012-03-16	CB7.3	0.0								1.4173												1.6												14.0	2.0	3.0	37.11681	-76.12521	12:30:00
2012-03-16	CB7.3	1.0	6.675000000000001	0.00385	11.48		0.17814999999999998	0.0022	3.8499999999999996		0.00205	0.0018	0.0001	0.0018000000000000002	1.021605	8.32	0.226	0.14313	0.00030000000000000003	0.010485	17.65		0.183	13.26019	28608.0	0.182	0.00275	0.3251	0.32125	0.0132	6.62		12.13	14.0	2.0	3.0	37.116809999999994	-76.12521000000005	12:30:00
2012-03-16	CB7.3	2.0			10.38											8.19					21.06			16.11299	33647.0								10.77	14.0	2.0	3.0	37.116809999999994	-76.12521	12:30:00
2012-03-16	CB7.3	3.0			10.37											8.19					20.88			15.97306	33407.0								10.77	14.0	2.0	3.0	37.116809999999994	-76.12521	12:30:00
2012-03-16	CB7.3	4.0	5.874	0.0024000000000000002	10.13		0.16065	0.003	4.18		0.0017	0.0009	0.0002	0.00045	1.0124	8.14	0.33108000000000004	0.17402	0.0015	0.017159999999999998	24.57		0.1685	18.82957	38728.0	0.163	0.0045	0.337	0.33465	0.0217	7.04		10.85	14.0	2.0	3.0	37.116809999999994	-76.12521	12:30:00
2012-03-16	CB7.3	5.0			10.11											8.13					24.75			18.96954	38985.0								10.85	14.0	2.0	3.0	37.116809999999994	-76.12521	12:30:00
2012-03-16	CB7.3	6.0			10.05											8.13					24.83			19.030170000000002	39108.0								10.86	14.0	2.0	3.0	37.116809999999994	-76.12521	12:30:00
2012-03-16	CB7.3	7.0			9.93											8.12					25.12			19.26995	39520.0								10.77	14.0	2.0	3.0	37.116809999999994	-76.12521	12:30:00
