Samples	CollectionAgency
SB071017TAWCSCB42CD26BR1TR1I395	DNR
SB071017TAWCSCB43CD27BR1TR1I396	DNR
SB071017TAWCSCB44D31BR1TR1I397	DNR
SB071017TAWCSCB44D5BR1TR1I387	DNR
SB071017TAWCSCB51D33BR1TR1I398	DNR
SB071017TAWCSCB54D25BR1TR1I402	ODU
SB071017TAWCSCB54D25BR2TR1I412	ODU
SB071017TAWCSCB62D9BR1TR1I405	ODU
SB071017TAWCSCB63D10BR1TR1I406	ODU
SB071017TAWCSCB71D20BR1TR1I408	ODU
SB071017TAWCSCB72D20BR1TR1I409	ODU
SB071017TAWCSCB73D12BR1TR1I410	ODU
94_AmirControl_R2	Preheim
SB041117TAWCSCB61D11BR1TR1I302	ODU
SB041117TAWCSCB61D11BR1TR1I311	ODU
SB050817TAWCSCB61D11BR1TR1I336	ODU
SB060117TAWCSCB33CD12BR1TR1I536	Preheim
SB061517TAWCSCB33CD0BR2TR1I558	Preheim
SB061517TAWCSCB33CD21BR1TR1I571	Preheim
SB061517TAWCSCB33CD2BR1TR1I561	Preheim
SB061517TAWCSCB33CD6BR1TR1I563	Preheim
SB071017TAWCSCB61D11BR1TR1I404	ODU
SB071017TAWCSCB71D20BR1TR1I417	ODU
SB071017TAWCSCB73D12BR1TR1I419	ODU
SB071717TAWCSCB33CD2BR1TR1I576	Preheim
SB080717TAWCSCB31D13BR1TR1I425	DNR
SB080717TAWCSCB33CD5BR1TR1I422	DNR
SB080717TAWCSCB42CD26BR1TR1I429	DNR
SB080717TAWCSCB43CD27BR1TR1I430	DNR
SB080717TAWCSCB44D31BR1TR1I431	DNR
SB080717TAWCSCB44D5BR1TR1I421	DNR
SB080717TAWCSCB51D33BR1TR1I432	DNR
SB080717TAWCSCB53D5BR1TR1I420	DNR
SB080717TAWCSCB54D25BR2TR1I446	ODU
SB080717TAWCSCB61D11BR1TR1I447	ODU
SB080717TAWCSCB62D9BR1TR1I439	ODU
SB080717TAWCSCB63D10BR1TR1I440	ODU
SB080717TAWCSCB63D10BR1TR1I449	ODU
SB080717TAWCSCB71D20BR1TR1I442	ODU
SB080717TAWCSCB72D20BR1TR1I452	ODU
SB080717TAWCSCB73D12BR1TR1I444	ODU
SB082817TAWCSCB31D13BR1TR1I459	DNR
SB082817TAWCSCB32D10BR1TR1I460	DNR
SB082817TAWCSCB33CD24BR1TR1I461	DNR
SB082817TAWCSCB33CD5BR1TR1I456	DNR
SB082817TAWCSCB42CD26BR1TR1I463	DNR
SB082817TAWCSCB43CD27BR1TR1I464	DNR
SB082817TAWCSCB44D31BR1TR1I465	DNR
SB082817TAWCSCB44D5BR1TR1I455	DNR
SB082817TAWCSCB53D25BR1TR1I468	DNR
SB082817TAWCSCB53D5BR1TR1I454	DNR
SB082817TAWCSCB54D25BR1TR1I470	ODU
SB082817TAWCSCB54D25BR2TR1I480	ODU
SB082817TAWCSCB62D9BR1TR1I473	ODU
SB082817TAWCSCB62D9BR1TR1I482	ODU
SB082817TAWCSCB63D10BR1TR1I474	ODU
SB082817TAWCSCB63D10BR1TR1I483	ODU
SB082817TAWCSCB73D12BR1TR1I478	ODU
SB091817TAWCSCB31D13BR1TR1I493	DNR
SB091817TAWCSCB32D10BR1TR1I494	DNR
SB091817TAWCSCB33CD24BR1TR1I495	DNR
SB091817TAWCSCB33CD5BR1TR1I490	DNR
SB091817TAWCSCB42CD26BR1TR1I497	DNR
SB091817TAWCSCB43CD27BR1TR1I498	DNR
SB091817TAWCSCB44D31BR1TR1I499	DNR
SB091817TAWCSCB51D33BR1TR1I500	DNR
SB091817TAWCSCB53D25BR2TR1I503	DNR
SB091817TAWCSCB53D5BR1TR1I488	DNR
SB091817TAWCSCB62D9BR1TR1I507	ODU
SB091817TAWCSCB63D10BR1TR1I518	ODU
SB091817TAWCSCB71D20BR1TR1I510	ODU
SB091817TAWCSCB71D20BR1TR1I520	ODU
SB091817TAWCSCB72D20BR1TR1I511	ODU
SB091817TAWCSCB72D20BR1TR1I521	ODU
SB060117TAWCSCB33CD0BR2TR1I542	Preheim
SB060117TAWCSCB33CD10BR2TR1I547	Preheim
SB060117TAWCSCB33CD11BR1TR1I535	Preheim
SB060117TAWCSCB33CD13BR1TR1I537	Preheim
SB060117TAWCSCB33CD14BR1TR1I538	Preheim
SB060117TAWCSCB33CD14BR2TR1I549	Preheim
SB060117TAWCSCB33CD15BR1TR1I539	Preheim
SB060117TAWCSCB33CD19BR2TR1I553	Preheim
SB060117TAWCSCB33CD1BR1TR1I525	Preheim
SB060117TAWCSCB33CD21BR2TR1I554	Preheim
SB060117TAWCSCB33CD2BR1TR1I526	Preheim
SB060117TAWCSCB33CD2BR2TR1I543	Preheim
SB060117TAWCSCB33CD3BR1TR1I527	Preheim
SB060117TAWCSCB33CD4BR1TR1I528	Preheim
SB060117TAWCSCB33CD4BR2TR1I544	Preheim
SB060117TAWCSCB33CD5BR1TR1I529	Preheim
SB060117TAWCSCB33CD6BR1TR1I530	Preheim
SB060117TAWCSCB33CD7BR1TR1I531	Preheim
SB060117TAWCSCB33CD8BR1TR1I532	Preheim
SB060117TAWCSCB33CD8BR2TR1I546	Preheim
SB062716TAWCSCB33CD12BR2TR1I603	Preheim
SB062716TAWCSCB33CD1BR1TR3I604	Preheim
SB071116TAWCSCB22D11BR1TR1I144	DNR
SB071116TAWCSCB22D11BR2TR1I145	DNR
SB071116TAWCSCB33CD24BR1TR1I148	DNR
SB071116TAWCSCB43CD26BR1TR1I151	DNR
SB071116TAWCSCB44D30BR1TR1I152	DNR
SB071116TAWCSCB52D29BR1TR1I154	DNR
SB071116TAWCSCB53D25BR2TR1I156	DNR
SB071116TAWCSCB54D25BR1TR1I157	ODU
SB071116TAWCSCB54D25BR2TR1I158	ODU
SB071116TAWCSCB63D10BR1TR1I163	ODU
SB071116TAWCSCB63D10BR2TR1I164	ODU
SB071116TAWCSCB64D10BR1TR1I165	ODU
SB071116TAWCSCB72D20BR1TR1I169	ODU
SB071116TAWCSCB74D13BR2TR1I173	ODU
SB072516TAWCSCB33CD0BR1TR1I95	Preheim
SB072516TAWCSCB33CD0BR2TR1I96	Preheim
SB072516TAWCSCB33CD14BR1TR1I113	Preheim
SB072516TAWCSCB33CD16BR1TR1I115	Preheim
SB072516TAWCSCB33CD18BR1TR1I118	Preheim
SB072516TAWCSCB33CD20BR1TR1I121	Preheim
SB072516TAWCSCB33CD20BR2TR1I120	Preheim
SB072516TAWCSCB33CD4BR1TR1I102	Preheim
SB072516TAWCSCB33CD4BR2TR1I101	Preheim
SB072516TAWCSCB33CD6BR2TR1I105	Preheim
SB081216TAWCSCB22D11BR1TR1I176	DNR
SB081216TAWCSCB22D11BR2TR1I175	DNR
SB081216TAWCSCB31D13BR1TR1I177	DNR
SB081216TAWCSCB32D10BR1TR1I180	DNR
SB081216TAWCSCB33CD10BR1TR1I131	Preheim
SB081216TAWCSCB33CD15BR1TR1I136	Preheim
SB081216TAWCSCB33CD16BR3TR1I139	Preheim
SB081216TAWCSCB33CD24BR1TR1I181	DNR
SB081216TAWCSCB33CD2BR1TR1I127	Preheim
SB081216TAWCSCB41CD31BR1TR1I182	DNR
SB081216TAWCSCB42CD26BR1TR1I183	DNR
SB081216TAWCSCB43CD26BR1TR1I184	DNR
SB081216TAWCSCB51D33BR1TR1I186	DNR
SB081216TAWCSCB53D25BR2TR1I189	DNR
SB081216TAWCSCB54D25BR1TR1I190	ODU
SB081216TAWCSCB54D25BR2TR1I191	ODU
SB081216TAWCSCB61D11BR1TR1I192	ODU
SB081216TAWCSCB62D9BR1TR1I194	ODU
SB081216TAWCSCB62D9BR2TR1I195	ODU
SB081216TAWCSCB63D11BR2TR1I196	ODU
SB081216TAWCSCB64D10BR2TR1I199	ODU
SB081216TAWCSCB71D20BR2TR1I201	ODU
SB081216TAWCSCB72D20BR2TR1I203	ODU
SB081216TAWCSCB73D12BR1TR1I205	ODU
SB082916TAWCSCB31D13BR1TR2I212	DNR
SB082916TAWCSCB43CD26BR1TR1I219	DNR
SB082916TAWCSCB44D30BR1TR1I222	DNR
SB082916TAWCSCB52D29BR1TR1I224	DNR
SB082916TAWCSCB53D25BR1TR1I225	DNR
SB082916TAWCSCB53D25BR2TR1I226	DNR
SB082916TAWCSCB54D25BR2TR1I228	ODU
SB082916TAWCSCB61D11BR1TR1I230	ODU
SB082916TAWCSCB61D11BR2TR1I231	ODU
SB082916TAWCSCB62D9BR1TR1I232	ODU
SB082916TAWCSCB63D10BR3TR1I234	ODU
SB082916TAWCSCB64D10BR1TR1I236	ODU
SB082916TAWCSCB64D10BR2TR1I237	ODU
SB082916TAWCSCB71D20BR2TR1I238	ODU
SB082916TAWCSCB72D20BR1TR1I241	ODU
SB082916TAWCSCB74D13BR1TR1I246	ODU
SB082916TAWCSCB74D13BR2TR1I614	ODU
SB083016TAWCSCB41CD31BR1TR1I216	DNR
SB083116TAWCSCB22D11BR2TR1I210	DNR
SB062716TAWCSCB33CD0BR2TR1I78	Preheim
SB062716TAWCSCB33CD10BR1TR1I85	Preheim
SB062716TAWCSCB33CD12BR1TR1I86	Preheim
SB062716TAWCSCB33CD14BR1TR1I88	Preheim
SB062716TAWCSCB33CD16BR1TR1I89	Preheim
SB062716TAWCSCB33CD18BR1TR1I90	Preheim
SB062716TAWCSCB33CD1BR1TR1I79	Preheim
SB062716TAWCSCB33CD20BR1TR1I91	Preheim
SB062716TAWCSCB33CD21BR1TR1I92	Preheim
SB062716TAWCSCB33CD2BR1TR1I81	Preheim
SB062716TAWCSCB33CD4BR1TR1I82	Preheim
SB062716TAWCSCB33CD6BR1TR1I83	Preheim
SB062716TAWCSCB33CD8BR1TR1I84	Preheim
SB062716TAWCSCB33CDEBBR1TR1I94	Preheim
SB061815TAWCSCB33CD0BR1TR1I3	Preheim
SB061815TAWCSCB33CD10BR1TR1I13	Preheim
SB061815TAWCSCB33CD11BR1TR1I15	Preheim
SB061815TAWCSCB33CD13BR1TR1I17	Preheim
SB061815TAWCSCB33CD14BR1TR1I18	Preheim
SB061815TAWCSCB33CD17BR1TR1I21	Preheim
SB061815TAWCSCB33CD18BR1TR1I22	Preheim
SB061815TAWCSCB33CD1BR1TR1I4	Preheim
SB061815TAWCSCB33CD2BR1TR1I5	Preheim
SB061815TAWCSCB33CD3BR1TR1I6	Preheim
SB061815TAWCSCB33CD4BR1TR1I7	Preheim
SB061815TAWCSCB33CD6BR1TR1I9	Preheim
SB061815TAWCSCB33CD7BR1TR1I10	Preheim
SB061815TAWCSCB33CD8BR1TR1I11	Preheim
SB061815TAWCSCB33CDEBBR1TR1I23	Preheim
SB072215TAWCSCB33CD0BR1TR1I27	Preheim
SB072215TAWCSCB33CD10BR1TR1I37	Preheim
SB072215TAWCSCB33CD10BR2TR1I38	Preheim
SB072215TAWCSCB33CD11BR1TR1I39	Preheim
SB072215TAWCSCB33CD12BR1TR1I40	Preheim
SB072215TAWCSCB33CD13BR1TR1I41	Preheim
SB072215TAWCSCB33CD14BR1TR1I42	Preheim
SB072215TAWCSCB33CD15BR1TR1I43	Preheim
SB072215TAWCSCB33CD18BR1TR1I44	Preheim
SB072215TAWCSCB33CD20BR1TR1I45	Preheim
SB072215TAWCSCB33CD22BR1TR1I46	Preheim
SB072215TAWCSCB33CD2BR1TR1I29	Preheim
SB072215TAWCSCB33CD3BR1TR1I30	Preheim
SB072215TAWCSCB33CD4BR1TR1I31	Preheim
SB072215TAWCSCB33CD6BR1TR1I33	Preheim
SB072215TAWCSCB33CD7BR1TR1I34	Preheim
SB072215TAWCSCB33CD9BR1TR1I36	Preheim
SB072215TAWCSCB33CDEBBR1TR1I47	Preheim
SB082015TAWCSCB33CD0BR1TR1I51	Preheim
SB082015TAWCSCB33CD10BR1TR1I61	Preheim
SB082015TAWCSCB33CD10BR2TR1I62	Preheim
SB082015TAWCSCB33CD11BR1TR1I63	Preheim
SB082015TAWCSCB33CD12BR1TR1I64	Preheim
SB082015TAWCSCB33CD13BR1TR1I65	Preheim
SB082015TAWCSCB33CD14BR1TR1I66	Preheim
SB082015TAWCSCB33CD15BR1TR1I67	Preheim
SB082015TAWCSCB33CD16BR1TR1I68	Preheim
SB082015TAWCSCB33CD17BR1TR1I69	Preheim
SB082015TAWCSCB33CD18BR1TR1I70	Preheim
SB082015TAWCSCB33CD19BR1TR1I71	Preheim
SB082015TAWCSCB33CD1BR1TR1I52	Preheim
SB082015TAWCSCB33CD20BR1TR1I74	Preheim
SB082015TAWCSCB33CD3BR1TR1I54	Preheim
SB082015TAWCSCB33CD4BR1TR1I55	Preheim
SB082015TAWCSCB33CD7BR1TR1I58	Preheim
SB082015TAWCSCB33CD8BR1TR1I59	Preheim
SB082015TAWCSCB33CD9BR1TR1I60	Preheim
SB082015TAWCSCB33CDEBBR1TR1I76	Preheim
SB061517TAWCSCB33CD14BR1TR1I567	Preheim
SB061517TAWCSCB33CD8BR1TR1I564	Preheim
SB062617TAWCSCB31D13BR1TR1I357	DNR
SB062617TAWCSCB43CD27BR1TR1I362	DNR
SB062617TAWCSCB44D31BR1TR1I363	DNR
SB062617TAWCSCB53D25BR1TR1I366	DNR
SB071017TAWCSCB32D10BR1TR1I392	DNR
SB071017TAWCSCB53D25BR2TR1I401	DNR
SB071116TAWCSCB62D9BR1TR1I161	ODU
SB071116TAWCSCB62D9BR2TR1I162	ODU
SB071116TAWCSCB71D20BR1TR1I167	ODU
SB071116TAWCSCB71D20BR2TR1I168	ODU
SB071717TAWCSCB33CD10BR1TR1I580	Preheim
SB071717TAWCSCB33CD12BR1TR1I581	Preheim
SB071717TAWCSCB33CD14BR1TR1I582	Preheim
SB071717TAWCSCB33CD6BR1TR1I578	Preheim
SB080717TAWCSCB22D11BR1TR1I423	DNR
SB080717TAWCSCB32D10BR1TR1I426	DNR
SB080717TAWCSCB33CD24BR1TR1I427	DNR
SB080717TAWCSCB54D25BR2TR1I437	ODU
SB080717TAWCSCB62D9BR1TR1I448	ODU
SB080717TAWCSCB71D20BR1TR1I451	ODU
SB080717TAWCSCB72D20BR1TR1I443	ODU
SB080717TAWCSCB73D12BR1TR1I453	ODU
SB081216TAWCSCB72D20BR1TR1I204	ODU
SB081417TAWCSCB33CD10BR1TR1I593	Preheim
SB081417TAWCSCB33CD20BR1TR1I598	Preheim
SB081417TAWCSCB33CD2BR1TR1I589	Preheim
SB081417TAWCSCB33CD6BR1TR1I591	Preheim
SB081417TAWCSCB33CD8BR1TR1I592	Preheim
SB082817TAWCSCB22D11BR2TR1I458	DNR
SB082817TAWCSCB51D33BR1TR1I466	DNR
SB091817TAWCSCB22D11BR2TR1I492	DNR
SB091817TAWCSCB44D5BR1TR1I489	DNR
SB091817TAWCSCB54D25BR2TR1I505	ODU
SB091817TAWCSCB62D9BR1TR1I517	ODU
SB091817TAWCSCB63D10BR1TR1I508	ODU
SB091817TAWCSCB73D12BR1TR1I522	ODU
