SampleID	StationName	DateMMDDYY	DepthName	sequencing ID	CollectionAgency	sequencing_ID	Month	Year	Month_Year	Salinity_Group	Time	Actual Depth (m)	Temp (°C)	Conductivity (μS/cm)	Specific Conductivity (μS/cm)	Total Dissolved Solids (mg/L)	Salinity (PSU)	ODO (% sat)	ODO (mg/L)	Pressure (psi)	pH	ORP (mV)	Turbidity (FNU)	Station	CHLA	DIN	DO	DOC	DON	DOP	FSS	KD	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALINITY	SECCHI	SIF	SIGMA_T	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	WTEMP	TotalDepth
SB061815TAWCSCB33CD10BR2TR1I14	CB33C	061815	10	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD11BR1TR1I15	CB33C	061815	11	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	11:21:08	11.057	20.602	20664.8	22534.1	14669.0	15.834				6.95	128.8	1.54																																	
SB061815TAWCSCB33CD12BR1TR1I16	CB33C	061815	12	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD13BR1TR1I17	CB33C	061815	13	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	11:33:44	13.043	20.005	22283.5	24636.1	16015.0	18.687				6.95	127.2	1.24																																	
SB061815TAWCSCB33CD14BR1TR1I18	CB33C	061815	14	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	11:34:16	14.033	19.942	22800.2	25091.8	16220.0	20.11				6.96	125.6	1.15																																	
SB061815TAWCSCB33CD15BR1TR1I19	CB33C	061815	15	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD16BR1TR1I20	CB33C	061815	16	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD17BR1TR1I21	CB33C	061815	17	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	11:45:52	17.097	19.731	24383.0	27109.0	17617.0	24.544				6.99	121.8	1.56																																	
SB061815TAWCSCB33CD18BR1TR1I22	CB33C	061815	18	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	11:49:41	18.09	19.762	24297.8	26997.6	17549.0	25.957				6.99	120.8	1.42																																	
SB061815TAWCSCB33CDEBBR1TR1I23	CB33C	061815	LAB	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CDSBBR1TR1I2	CB33C	061815	LAB	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB072215TAWCSCB33CD0BR1TR1I27	CB33C	072215	00	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	09:07:00	0.279	26.84	9049.4	8741.3	5682.0	4.86	104.1	8.1	0.398	8.36	143.9	2.38																																	
SB072215TAWCSCB33CD1BR1TR1I28	CB33C	072215	01	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CD2BR1TR1I29	CB33C	072215	02	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	09:29:25	2.127	27.076	10983.8	10567.0	6869.0	5.96	93.3	7.18	3.029	8.25	150.0	2.6																																	
SB072215TAWCSCB33CD3BR1TR1I30	CB33C	072215	03	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	09:40:23	3.073	27.057	12289.6	11823.75	7685.5	6.72	84.4	6.47	4.377	8.1	155.3	2.41																																	
SB072215TAWCSCB33CD4BR1TR1I31	CB33C	072215	04	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	09:56:45	3.959	26.882	12147.8	11729.8	7624.0	6.67	89.2	6.86	5.64	8.2	154.7	2.44																																	
SB072215TAWCSCB33CD5BR1TR1I32	CB33C	072215	05	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CD6BR1TR1I33	CB33C	072215	06	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	10:22:09	6.069	25.884	17488.9	17199.9	11180.0	10.1	41.0	3.15	8.671	7.5	168.85	1.75																																	
SB072215TAWCSCB33CD7BR1TR1I34	CB33C	072215	07	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	10:37:04	7.031	25.344	19826.2	19697.7	12803.0	11.72	18.2	1.4	10.058	7.27	167.3	1.51																																	
SB072215TAWCSCB33CD8BR1TR1I35	CB33C	072215	08	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CD9BR1TR1I36	CB33C	072215	09	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	10:57:45	9.023	24.66	22596.1	22743.0	14783.0	13.71	1.9	0.14	12.932	7.18	151.5	1.21																																	
SB072215TAWCSCB33CD10BR1TR1I37	CB33C	072215	10	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	11:09:10	9.91	24.418	23624.4	23893.0	15533.0	14.48	-0.2	-0.02	14.209	7.19	115.6	1.09																																	
